"seed name","Disease Name","Timing","Symptoms","Solutions (Based on Similar Millets)"
Sheath Rot: Sarocladium oryzae,discoloration in the sheath,Ipomoea Leaf Extract,Ipomoea leaf powder extract (25 kg/ha),
Sheath Rot: Sarocladium oryzae,lesions enlarge and often coalesce and may cover the entire leaf sheath,Prosopis Leaf Extract,Prosopis leaf powder extract (25 kg/ha),
Sheath Rot: Sarocladium oryzae,severe infection causes entire or parts of young panicles to remain within the sheath,Chemical Methods,Spray one of the following after observing initial infection of the disease:,
Sheath Rot: Sarocladium oryzae,unemerged panicles rot and florets turn red-brown to dark brown,Carbendazim,Carbendazim @ 500g/ha,
Sheath Rot: Sarocladium oryzae,unemerged panicles rot and florets turn red-brown to dark brown,Metominostrobin,Metominostrobin @ 500 ml/ha,
Sheath Rot: Sarocladium oryzae,whitish powdery growth inside the affected sheaths and young panicles,Hexaconazole,Hexaconazole 75% WG @ 100 mg/lit. Apply two sprays: 1st at disease appearance and 2nd 15 days later.,
Sheath Rot: Sarocladium oryzae,whitish powdery growth inside the affected sheaths and young panicles,Biological Methods,Use TNAU Pf 1 liquid formulation (choose one application method):,
Sheath Rot: Sarocladium oryzae,"infected panicles and  grains are sterile, shriveled, partially or unfilled, and discolored.",Seed Treatment,Seed Treatment with TNAU Pf 1 @ 10 ml/kg of seeds,
Sheath Rot: Sarocladium oryzae,"infected panicles and  grains are sterile, shriveled, partially or unfilled, and discolored.",Seedling Root Dip,Seedling root dipping with TNAU Pf 1 (500 ml for one hectare seedlings),
Sheath Rot: Sarocladium oryzae,The disease is important during the heading towards the maturity stages of the rice crop.,Soil Application,Soil application with TNAU Pf 1 (500ml/ha),
Sheath Rot: Sarocladium oryzae,The disease is important during the heading towards the maturity stages of the rice crop.,Foliar Spray,Foliar spray with TNAU Pf 1 @ 5ml/lit,
Stem end rot: Diplodia natalensis,Darkening of the epicarp (fruit skin) around the base of the pedicel (fruit stalk),Prune and destroy infected twigs and bark.,,
Stem end rot: Diplodia natalensis,"Affected area enlarges into a circular, black patch",Prune and destroy infected twigs and bark.,,
Stem end rot: Diplodia natalensis,"Under humid conditions, the black patch expands rapidly, engulfing the entire fruit within 2-3 days.",Spray with fungicides (choose one): <br> - Carbendazim (0.1%) <br> - Thiophanate Methyl (0.1%) <br> - Chlorathalonil (0.2%),,
Stem end rot: Diplodia natalensis,Flesh becomes brown and soft.,Apply fungicide sprays at fortnightly intervals during the rainy season.,,
Stem end rot: Diplodia natalensis,Spores from dead twigs and bark spread by rain.,,,
Sooty mould: Capnodium mangiferae,"Black, superficial mycelium (fungal threads) on leaves","Target Insects First: Apply systemic insecticides like methyl dematon to control insects (aphids, jassids, scale insects) that produce honeydew.",,
Sooty mould: Capnodium mangiferae,Black encrustation forms on leaf surfaces,"Remove Sooty Mold: After controlling insects, spray a starch solution (1kg starch/maida in 5 liters of water, boiled and diluted to 20 liters).",,
Sooty mould: Capnodium mangiferae,Reduced photosynthetic activity due to light blockage,"Remove Sooty Mold: After controlling insects, spray a starch solution (1kg starch/maida in 5 liters of water, boiled and diluted to 20 liters).",,
Sooty mould: Capnodium mangiferae,Fungal growth on sugary secretions (honeydew) from insects,"Target Insects First: Apply systemic insecticides like methyl dematon to control insects (aphids, jassids, scale insects) that produce honeydew.",,
"Ragi","Ragi Blast","Throughout growing season (most damaging before grain formation)","- Grayish lesions with brown borders on leaves, stems, and finger millet. - Lesions are elongated and pointed.","- Plant resistant ragi varieties (prevention). - Cultural practices: proper air circulation (avoid dense planting), rotate crops with legumes. - Fungicides (last resort, consult a specialist)."
"Ragi","Ergot Disease","Flowering stage (cool, humid conditions)","- Dark, elongated structures replace finger millet grains (ergot sclerotia). - Ergot is harmful if consumed.","- Plant resistant ragi varieties (prevention). - Cultural practices: proper drainage, destroy infected plant material."
"Ragi","Rust Disease","Any stage (more prevalent in cooler weather)","- Orange or brown pustules on leaves and stems. - Yellowing and withering of affected plant parts.","- Plant rust-resistant ragi varieties (prevention). - Cultural practices: good field sanitation, remove crop residue after harvest. - Fungicides (consult a specialist, sulfur-based might be recommended)."
"Mango","Anthracnose","Black, sunken spots on leaves, fruits, and stems. Can cause fruit drop.","Cultural practices: Prune for good air circulation, collect and destroy infected plant parts. Fungicides (copper-based) can be used as a preventive measure, consult a specialist for application details."
"Mango","Powdery Mildew","White powdery coating on leaves, flowers, and young fruits. Stunting of growth and fruit malformation.","Cultural practices: Ensure proper air circulation, avoid overhead watering. Sulfur-based fungicides might be recommended by a specialist for severe cases."
"Mango","Mango Malformation","Distorted leaves, stunted growth, bunchy flowering. Fruits may be malformed and inedible.","Preventive measures are crucial: Use virus-free planting material. Control insect vectors (aphids) that can spread the virus. Roguing (removal) of infected trees might be necessary in severe outbreaks."
"Mango","Bacterial Canker","Water-soaked lesions on leaves, stems, and fruits. Cankers develop on branches, causing dieback.","Cultural practices: Prune to remove diseased branches. Disinfect pruning tools. Copper-based bactericides might be recommended as a preventive measure by a specialist."
"Banana","Black Sigatoka","Throughout growing season (more severe in warm, humid weather)","- Dark brown to black, elongated spots with yellow halos on leaves. - Streaking and splitting of leaves in severe cases. - Reduced fruit size and quality.","- Planting resistant banana varieties (if available). - Cultural practices: Good sanitation (remove infected leaves), proper drainage. - Fungicides containing strobilurins or triazoles may be used as a preventive measure (consult a specialist)."
"Banana","Yellow Sigatoka","Throughout growing season (more severe in warm, humid weather)","- Small, yellow to brown spots with dark speckles on leaves. - Merging of spots into large, irregular lesions. - Reduced fruit size and quality.","- Planting resistant banana varieties (if available). - Cultural practices: Good sanitation (remove infected leaves), proper drainage. - Fungicides containing strobilurins or triazoles may be used as a preventive measure (consult a specialist)."
"Banana","Bunchy Top Disease","Any stage of growth","- Upright and stunted growth. - Bunching and malformation of leaves. - Sterile or malformed fruits.","- No cure, removal and destruction of infected plants is crucial to prevent spread. - Use virus-free planting material. - Control insect vectors (aphids, mealybugs) that can spread the virus."
"Banana","Moko Disease (Bacterial Wilt)","Any stage of growth","- Sudden wilting and yellowing of leaves. - Soft, mushy pseudostem with oozing bacterial slime. - Vascular discoloration in the corm.","- No cure, removal and destruction of infected plants is crucial to prevent spread. - Use disease-free planting material. - Practice good sanitation and hygiene."
"Banana","Panama Wilt","Throughout growing season (warm soil temperatures)","- Yellowing and wilting of lower leaves, progressing upwards. - Stunted growth, vascular discoloration in the corm if cut.","- Planting resistant banana varieties. - Soil solarization (heating soil with plastic covers) can help reduce pathogen population in some cases. - No effective cure, remove and destroy infected plants."
"Tomato","Early Blight (Alternaria Solani)","Throughout growing season (cool, moist weather)","Small, dark brown spots on older leaves, developing concentric rings. Yellowing around spots, progressing to leaf drop in severe cases.","- Cultural practices: Proper spacing for air circulation, avoid overhead watering, remove and destroy infected leaves. - Copper-based fungicides can be used as a preventive measure (consult a specialist)."
"Tomato","Late Blight (Phytophthora infestans)","Cool, humid weather with extended periods of leaf wetness","Large, brown, watery spots on leaves, stems, and fruits. Rapid wilting and death of plant in severe cases.","- Planting resistant tomato varieties. - Cultural practices: Proper spacing, avoid overhead watering, rotate crops. - Fungicides containing copper or chlorothalonil may be used as a preventive measure (consult a specialist)."
"Tomato","Septoria Leaf Spot","Warm, humid weather","Small, circular, brown or gray spots with dark edges on leaves. Can cause significant defoliation if not controlled.","- Planting resistant tomato varieties. - Cultural practices: Proper spacing, avoid overhead watering, remove and destroy infected leaves. - Copper-based fungicides may be used as a preventive measure (consult a specialist)."
"Tomato","Bacterial Spot","Warm, humid weather, spread by splashing water or insects","Small, water-soaked spots on leaves, stems, and fruits. Spots may become brown and scabby.","- Planting resistant tomato varieties. - Cultural practices: Proper spacing, avoid overhead watering, sanitation (washing hands and tools). - Copper-based bactericides may be used as a preventive measure (consult a specialist)."
"Tomato","Tomato Spotted Wilt Virus (TSWV)","Any stage of growth","Yellow mottling, bronzing, or distortion of leaves. Stunted growth, deformed fruits.","- Controlling thrips populations with insecticidal soap or neem oil sprays. - Removing and destroying infected plants to prevent further spread. No direct cure for the virus in the plant."
"Tomato","Fusarium Wilt","Warm soil temperatures","Yellowing and wilting of lower leaves, progressing upwards. Stunted growth, vascular discoloration in stems if cut.","- Planting resistant tomato varieties. - Soil solarization (heating soil with plastic covers) can help reduce pathogen population. - No effective cure, remove and destroy infected plants."
"Chilies","Damping-off","Seedling stage (wet, cool conditions)","Seedlings collapse and die at the soil line,"Sterilize seed trays/pots, ensure proper drainage, avoid overwatering."
"Chilies","Anthracnose (Fruit Rot)","Fruiting stage (humid conditions),"Sunken, water-soaked spots on fruit, turning black and spreading. Can infect stems and cause dieback.","Copper fungicides applied preventatively, improve air circulation, avoid overhead watering."
"Chilies","Powdery Mildew","Any stage (cool, humid weather)","White to gray powdery growth on leaves and stems, stunted growth.","Sulfur-based fungicides, improve air circulation, avoid overhead watering."
"Chilies","Fusarium Wilt","Throughout growing season (soilborne fungus)","Wilting, yellowing leaves, stunted growth.","Use disease-resistant varieties, practice crop rotation, remove and destroy infected plants. No cure for established infection."
"Chilies","Bacterial Leaf Spot","Warm, humid weather","Small, brown,water-soaked spots on leaves, may turn yellow and drop.","Copper-based bactericides applied preventatively, improve air circulation, avoid overhead watering."
"Turmeric","(Fusarium spp. & Others)","Throughout growing season, especially during warm, humid periods","Yellowing leaves, wilting, stunted plant growth, rotting of rhizomes (underground stems)","Crop rotation with non-susceptible crops, use disease-free planting material, improve soil drainage, manage irrigation to avoid waterlogging. Fungicides may be used as a preventative measure."
"Turmeric","(Rhizoctonia solani)","During rhizome maturation (October onwards)","Initially, soft and shrunken rhizomes that later dry up and harden. Infected areas appear dull brown or dark when cut open. Can be confused with natural drying during maturity.","Practice crop rotation, collect and destroy infected plant debris, maintain good field sanitation. Careful harvesting to minimize wounding of rhizomes."
"Turmeric","(Pratylenchus spp. & Fusarium spp. Complex)","All stages of growth","Stunted plant growth, yellowing leaves, wilting, necrosis (dead patches) on leaves, and poor development of rhizomes.","No effective cure. Implement integrated pest management (IPM) strategies like crop rotation, use of resistant varieties (if available), applying organic amendments to improve soil health, and managing nematode populations (Pratylenchus spp.) through practices like marigold trap cropping."
"Turmeric","(Cercospora curcumae)","All stages of growth, but most prevalent during warm, humid weather","Large, irregular, brown to reddish-brown patches on leaves, surrounded by a yellow halo. Can cause significant yield loss if left uncontrolled.","Apply copper-based fungicides as a preventative measure, particularly during humid periods. Ensure good air circulation within the crop canopy. Balanced fertilization practices may help reduce disease severity."
"Turmeric","(Colletotrichum capsici)","2-4 months after planting","Small, circular, brown to black spots surrounded by a yellow halo on leaves. Can merge and form larger lesions, causing leaves to dry out and die.","Implement crop rotation, use disease-free planting material, remove and destroy infected plant debris. Fungicides containing copper or neem oil can be used as a preventative measure, especially during humid periods."
"Marigold","Damping-off,Seedling stage (moist conditions)","Seedlings fail to emerge or wilt and die shortly after emergence. Stems may appear rotted at the base.,- Sow seeds in well-draining soil. - Avoid overwatering seedlings. - Practice good sanitation in seed trays/pots. - Fungicide seed treatment can be helpful (consult a specialist)".
"Marigold","Alternaria Leaf Spot","Warm, humid weather","Brown or black spots with concentric rings on leaves. Can cause defoliation if severe.,- Improve air circulation around plants by proper spacing. - Water at the base of the plant to avoid wetting leaves. - Copper-based fungicides can be used as a preventive measure (consult a specialist)".
"Marigold","Botrytis Blight (Gray Mold)","Cool, humid weather","Grayish mold on flowers, leaves, and stems. Infected plant parts become mushy and rot.","- Avoid overhead watering, especially in the evening. - Remove and destroy infected plant material. - Improve air circulation around plants. - Fungicides may be used as a last resort (consult a specialist)."
"Marigold","Fusarium Wilt","Throughout growing season (warm soil)","Yellowing and wilting of lower leaves, progressing upwards. Stunting of plant growth.","- Plant marigolds in disease-free soil. Crop rotation is helpful. - No effective cure, remove and destroy infected plants."
"Marigold","Aster Yellows","Any stage of growth",Yellowing and stunting of the entire plant. Distorted leaves and abnormal flowering.,- Control leafhoppers using insecticidal soap or neem oil sprays. - Remove and destroy infected plants to prevent further spread. No direct cure for the disease in the plant."

